Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,40.0,1.0,40.0,40.0,0.1,25.705000000000016,0.0,0.0,0.005136728286743164,,,,,,,,,,,,,,,,,,,,,9.28206316501429,8.78332869705749,25.38446101096034,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,78.0,2.0,38.0,78.0,0.1,15.909999999999991,0.0,0.0,3.726515054702759,,,,,,,,,,,,,,,,,,,,,4.221867569262923,5.243776941978851,15.781115482216963,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,110.0,3.0,32.0,110.0,0.1,14.306999999999993,0.0,0.0,7.107720136642456,,,,,,,,,,,,,,,,,,,,,4.099182365057661,4.825174773729128,14.204220400899555,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,155.0,4.0,45.0,155.0,0.1,30.106000000000016,0.0,0.0,11.340500116348267,,,,,,,,,,,,,,,,,,,,,11.099566681368398,10.204392931436132,29.66582147646989,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,201.0,5.0,46.0,201.0,0.1,23.607000000000024,0.0,0.0,15.72486138343811,,,,,,,,,,,,,,,,,,,,,7.210784620474613,7.787727107251557,23.321924434402536,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,234.0,6.0,33.0,234.0,0.1,18.606000000000016,0.0,0.0,19.02423620223999,,,,,,,,,,,,,,,,,,,,,6.1980362622117315,6.439859963958388,18.4383230110461,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,276.0,7.0,42.0,276.0,0.1,18.608000000000025,0.0,0.0,23.269620656967163,,,,,,,,,,,,,,,,,,,,,5.238590299238747,6.042629081663925,18.42481040342843,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,309.0,8.0,33.0,309.0,0.1,13.006999999999993,0.0,0.0,26.582266807556152,,,,,,,,,,,,,,,,,,,,,3.5019039662122515,4.250283722427361,12.917258769395017,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,382.0,9.0,73.0,382.0,0.1,24.716000000000005,0.0,0.0,33.23793005943298,,,,,,,,,,,,,,,,,,,,,9.306458288557584,5.982434797371804,24.084774008177646,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,435.0,10.0,53.0,435.0,0.1,31.107000000000024,0.0,0.0,38.15015769004822,,,,,,,,,,,,,,,,,,,,,10.233534565524037,10.3727254717721,30.625843729642785,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,465.0,11.0,30.0,465.0,0.1,12.207999999999993,0.0,0.0,41.15799903869629,,,,,,,,,,,,,,,,,,,,,3.3175823881590225,4.100450582747807,12.132725847324032,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,501.0,12.0,36.0,501.0,0.1,14.007999999999992,0.0,0.0,44.89625334739685,,,,,,,,,,,,,,,,,,,,,3.747902771650249,4.516364076838974,13.900863326009286,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,552.0,13.0,51.0,552.0,0.1,25.40600000000002,0.0,0.0,49.63786005973816,,,,,,,,,,,,,,,,,,,,,8.320029824817068,7.957552242031676,25.031716880979403,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,577.0,14.0,25.0,577.0,0.1,9.606999999999994,0.0,0.0,52.257357358932495,,,,,,,,,,,,,,,,,,,,,2.607992595315455,3.2740363579048006,9.560912449102872,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,614.0,15.0,37.0,614.0,0.1,15.908999999999992,0.0,0.0,55.90433359146118,,,,,,,,,,,,,,,,,,,,,4.334963845116402,5.267441896215586,15.780150859298432,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,719.0,16.0,105.0,719.0,0.1,33.52100000000007,0.0,0.0,65.49652981758118,,,,,,,,,,,,,,,,,,,,,13.179450918405239,7.401247001049061,32.20152850905705,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,786.0,17.0,67.0,786.0,0.1,46.905,0.0,0.0,71.61952590942383,,,,,,,,,,,,,,,,,,,,,17.583906994815326,15.325563397230535,45.818469351581186,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,867.0,18.0,81.0,867.0,0.1,55.206999999999994,0.0,0.0,78.89557671546936,,,,,,,,,,,,,,,,,,,,,21.640592157006754,16.942426016219766,53.56118083577315,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,915.0,19.0,48.0,915.0,0.1,19.010000000000034,0.0,0.0,83.40056777000427,,,,,,,,,,,,,,,,,,,,,4.885165116805291,5.983044568319146,18.8131195002744,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,948.0,20.0,33.0,948.0,0.1,14.806999999999993,0.0,0.0,86.73156499862671,,,,,,,,,,,,,,,,,,,,,4.269318763727899,4.963200684686619,14.695488762833886,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,49.0,1.0,49.0,997.0,0.1,22.50700000000003,0.0,0.0,185.87584495544434,,,,,,,,,,,,,,,,,,,,,6.416005482728412,7.217438017544752,22.237067629537755,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,83.0,2.0,34.0,1031.0,0.1,22.005000000000013,0.0,0.0,189.2001438140869,,,,,,,,,,,,,,,,,,,,,8.11979262562773,7.613053811659906,21.772450178635754,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
